embryo,model_id,bin,n,mean_score,annotation_rate
44b6,logistic_appearance_quality_C1,3,591,0.3387160897254944,0.030456852791878174
44b6,logistic_appearance_quality_C1,4,190,0.4407954216003418,0.021052631578947368
44b6,logistic_appearance_quality_C1,5,71,0.5426676273345947,0.0
44b6,logistic_appearance_quality_C1,6,18,0.6328775882720947,0.0
44b6,logistic_appearance_quality_C1,7,9,0.7578378319740295,0.0
44b6,logistic_appearance_quality_C10,0,2857794,0.02952277660369873,0.006444131382457938
44b6,logistic_appearance_quality_C10,1,29046,0.12770414352416992,0.019796185361151276
44b6,logistic_appearance_quality_C10,2,2799,0.23693601787090302,0.02679528403001072
44b6,logistic_appearance_quality_C10,3,597,0.33911460638046265,0.03015075376884422
44b6,logistic_appearance_quality_C10,4,192,0.44192448258399963,0.020833333333333332
44b6,logistic_appearance_quality_C10,5,71,0.544536292552948,0.0
44b6,logistic_appearance_quality_C10,6,18,0.6352815628051758,0.0
44b6,logistic_appearance_quality_C10,7,9,0.7597535848617554,0.0
44b6,logistic_geometry_time_C0.1,0,2890526,0.047618430107831955,0.0066036423820439605
44b6,logistic_geometry_time_C1,0,2890526,0.04761957749724388,0.0066036423820439605
44b6,logistic_geometry_time_C10,0,2890526,0.04761969670653343,0.0066036423820439605
44b6,logistic_predicted_temporal_C0.1,0,2886070,0.04870019480586052,0.006580228476786772
44b6,logistic_predicted_temporal_C0.1,1,4456,0.10482226312160492,0.021768402154398563
44b6,logistic_predicted_temporal_C1,0,2886019,0.04869964346289635,0.00658034475864504
44b6,logistic_predicted_temporal_C1,1,4507,0.10482367873191833,0.021522076769469715
44b6,logistic_predicted_temporal_C10,0,2886015,0.04869960620999336,0.006580353878964593
44b6,logistic_predicted_temporal_C10,1,4511,0.10482502728700638,0.02150299268454888
44b6,image_only_seed20260908,0,2768725,0.03595298156142235,0.006159513855655581
44b6,image_only_seed20260908,1,116028,0.12631221115589142,0.016254697142069157
44b6,image_only_seed20260908,2,5503,0.22962896525859833,0.02689442122478648
44b6,image_only_seed20260908,3,269,0.32448315620422363,0.0
44b6,image_only_seed20260908,4,1,0.40208563208580017,0.0
44b6,image_only_seed314159,0,2714627,0.03137528896331787,0.006179854543552393
44b6,image_only_seed314159,1,161235,0.1324157565832138,0.011914286600303903
44b6,image_only_seed314159,2,14271,0.22696197032928467,0.027398220166771774
44b6,image_only_seed314159,3,392,0.31889888644218445,0.0
44b6,image_only_seed314159,4,1,0.4128417670726776,0.0
44b6,image_plus_tabular_seed20260908,0,2827102,0.036289509385824203,0.006118986863579736
44b6,image_plus_tabular_seed20260908,1,60449,0.12161917984485626,0.02689870800178663
44b6,image_plus_tabular_seed20260908,2,2373,0.2344282865524292,0.05351875263379688
44b6,image_plus_tabular_seed20260908,3,450,0.33863288164138794,0.07777777777777778
44b6,image_plus_tabular_seed20260908,4,121,0.439984530210495,0.008264462809917356
44b6,image_plus_tabular_seed20260908,5,28,0.5314151644706726,0.0
44b6,image_plus_tabular_seed20260908,6,3,0.6814001202583313,0.0
44b6,image_plus_tabular_seed314159,0,2806391,0.025758519768714905,0.0060921660595405274
44b6,image_plus_tabular_seed314159,1,77274,0.12699492275714874,0.021262002743484224
44b6,image_plus_tabular_seed314159,2,5370,0.23535649478435516,0.05027932960893855
44b6,image_plus_tabular_seed314159,3,1061,0.3374580144882202,0.06314797360980208
44b6,image_plus_tabular_seed314159,4,313,0.4412464499473572,0.03194888178913738
44b6,image_plus_tabular_seed314159,5,87,0.5431950688362122,0.011494252873563218
44b6,image_plus_tabular_seed314159,6,28,0.6301193237304688,0.0
44b6,image_plus_tabular_seed314159,7,2,0.7271265983581543,0.0
